                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6585,                 1.7983,                 1.7714,                0.70622,                 0.5757,                0.61519,                0.33003,                 1.6596,                 1.4712,                 1.8478,               0.006733,               0.006733,               0.006733
                     36,                   1.65,                  1.766,                 1.7712,                0.70406,                0.58235,                0.60998,                0.32942,                 1.6448,                 1.5115,                 1.8502,               0.006634,               0.006634,               0.006634
                     37,                  1.647,                 1.7424,                 1.7573,                0.70259,                0.59122,                 0.6251,                0.33927,                 1.6458,                  1.443,                 1.8446,               0.006535,               0.006535,               0.006535
                     38,                 1.6301,                 1.7275,                 1.7464,                0.70354,                0.59754,                0.63245,                 0.3473,                 1.6508,                 1.4366,                 1.8466,               0.006436,               0.006436,               0.006436
                     39,                 1.6322,                 1.7308,                 1.7449,                0.70576,                0.61628,                0.64028,                0.35125,                 1.6279,                 1.3902,                 1.8239,               0.006337,               0.006337,               0.006337
                     40,                  1.624,                 1.6995,                 1.7361,                0.71565,                0.60195,                0.63205,                0.34354,                 1.6496,                 1.4043,                 1.8389,               0.006238,               0.006238,               0.006238
                     41,                 1.6282,                 1.7044,                 1.7321,                0.73137,                0.60978,                0.64188,                0.35624,                 1.6134,                 1.3732,                 1.8107,               0.006139,               0.006139,               0.006139
                     42,                 1.6128,                 1.6747,                 1.7241,                0.71232,                0.61515,                0.64734,                0.35725,                 1.6128,                 1.3536,                 1.8016,                0.00604,                0.00604,                0.00604
                     43,                 1.6089,                 1.6694,                 1.7199,                0.71399,                0.61743,                0.65102,                 0.3606,                  1.627,                 1.3497,                 1.8166,               0.005941,               0.005941,               0.005941
                     44,                    1.6,                 1.6628,                 1.7091,                0.71527,                0.62187,                0.65477,                0.36793,                 1.6151,                 1.3249,                 1.8015,               0.005842,               0.005842,               0.005842
                     45,                 1.5818,                 1.6353,                 1.7016,                0.70274,                0.63052,                 0.6562,                0.36251,                 1.6132,                 1.3321,                 1.8066,               0.005743,               0.005743,               0.005743
                     46,                 1.5867,                 1.6229,                 1.7008,                 0.7259,                0.63159,                0.66723,                0.36876,                 1.6177,                 1.3069,                 1.8002,               0.005644,               0.005644,               0.005644
                     47,                  1.581,                 1.6151,                 1.7039,                0.74765,                0.62933,                0.66549,                0.37163,                 1.6034,                 1.3082,                 1.7957,               0.005545,               0.005545,               0.005545
                     48,                 1.5692,                  1.603,                 1.6932,                0.71534,                0.64003,                0.66399,                0.37525,                 1.5914,                 1.3006,                 1.7828,               0.005446,               0.005446,               0.005446
                     49,                 1.5538,                 1.5906,                 1.6799,                0.76815,                0.63068,                0.67783,                0.38241,                 1.5824,                 1.2734,                 1.7701,               0.005347,               0.005347,               0.005347
                     50,                 1.5722,                 1.6047,                 1.6915,                0.75788,                0.61464,                0.67087,                0.37917,                 1.5808,                 1.2833,                 1.7791,               0.005248,               0.005248,               0.005248
                     51,                 1.5538,                 1.5869,                 1.6829,                 0.7505,                0.63652,                0.68145,                0.38876,                 1.5617,                 1.2652,                 1.7505,               0.005149,               0.005149,               0.005149
                     52,                 1.5565,                  1.564,                 1.6742,                0.75038,                0.64489,                0.67466,                0.38666,                 1.5648,                 1.2495,                 1.7501,                0.00505,                0.00505,                0.00505
                     53,                 1.5476,                 1.5631,                 1.6723,                 0.7437,                0.64679,                 0.6802,                0.39133,                 1.5634,                 1.2393,                 1.7527,               0.004951,               0.004951,               0.004951
                     54,                 1.5388,                   1.55,                 1.6599,                0.75766,                0.64326,                0.68962,                0.39356,                 1.5728,                 1.2289,                 1.7587,               0.004852,               0.004852,               0.004852
                     55,                 1.5363,                 1.5432,                 1.6559,                0.74653,                0.65062,                0.67826,                0.39087,                 1.5758,                 1.2371,                 1.7632,               0.004753,               0.004753,               0.004753
                     56,                 1.5214,                 1.5198,                 1.6406,                0.78364,                0.64225,                0.69151,                0.39845,                 1.5595,                  1.212,                 1.7406,               0.004654,               0.004654,               0.004654
                     57,                 1.5137,                 1.4998,                 1.6422,                0.77072,                0.66236,                 0.7056,                0.40637,                 1.5499,                 1.1903,                 1.7285,               0.004555,               0.004555,               0.004555
                     58,                 1.5225,                 1.5002,                 1.6475,                0.77951,                0.65094,                0.70013,                0.40781,                 1.5379,                  1.184,                 1.7278,               0.004456,               0.004456,               0.004456
                     59,                 1.4965,                 1.4846,                 1.6275,                0.76132,                0.66357,                0.69876,                0.40506,                 1.5503,                 1.1746,                 1.7444,               0.004357,               0.004357,               0.004357
                     60,                 1.4963,                 1.4698,                 1.6228,                0.77279,                0.65812,                0.69971,                 0.4057,                 1.5444,                 1.1733,                 1.7233,               0.004258,               0.004258,               0.004258
                     61,                 1.4987,                 1.4658,                 1.6261,                 0.7723,                0.66152,                0.70557,                0.41043,                  1.543,                 1.1755,                  1.731,               0.004159,               0.004159,               0.004159
                     62,                 1.5081,                  1.474,                 1.6353,                0.77223,                0.65875,                0.70191,                0.40692,                 1.5526,                  1.178,                 1.7321,                0.00406,                0.00406,                0.00406
                     63,                 1.4818,                 1.4454,                 1.6131,                0.78726,                0.65719,                0.70556,                0.41232,                 1.5418,                 1.1493,                 1.7254,               0.003961,               0.003961,               0.003961
                     64,                 1.4864,                 1.4575,                 1.6181,                0.77593,                0.66001,                0.69899,                0.40898,                  1.544,                 1.1602,                 1.7318,               0.003862,               0.003862,               0.003862
                     65,                 1.4853,                 1.4522,                 1.6086,                0.77565,                0.67299,                0.70826,                0.41655,                 1.5401,                 1.1398,                 1.7176,               0.003763,               0.003763,               0.003763
                     66,                 1.4732,                 1.4334,                 1.6078,                0.76872,                   0.67,                0.70637,                0.41555,                 1.5442,                 1.1362,                 1.7232,               0.003664,               0.003664,               0.003664
                     67,                 1.4586,                 1.4057,                 1.5966,                0.77214,                0.67321,                0.70686,                0.41845,                 1.5255,                 1.1304,                 1.7067,               0.003565,               0.003565,               0.003565
                     68,                 1.4528,                  1.407,                 1.5908,                0.77285,                0.67686,                0.70998,                 0.4193,                 1.5245,                  1.116,                 1.7062,               0.003466,               0.003466,               0.003466
                     69,                 1.4644,                 1.4171,                 1.5976,                0.78621,                0.66957,                0.71226,                0.41797,                 1.5351,                 1.1241,                 1.7126,               0.003367,               0.003367,               0.003367
                     70,                 1.4559,                 1.4002,                 1.5928,                0.79985,                0.67095,                0.71684,                0.42228,                 1.5347,                 1.1141,                 1.7092,               0.003268,               0.003268,               0.003268
                     71,                 1.4555,                 1.3953,                 1.5855,                0.78761,                0.66948,                0.71112,                0.42264,                 1.5308,                 1.1069,                 1.7097,               0.003169,               0.003169,               0.003169
                     72,                 1.4506,                 1.3856,                 1.5844,                0.79181,                0.67402,                0.71316,                0.42295,                 1.5241,                 1.0988,                 1.7034,                0.00307,                0.00307,                0.00307
                     73,                 1.4442,                 1.3767,                 1.5781,                0.77532,                0.68199,                0.71442,                0.42255,                 1.5201,                 1.1025,                 1.7032,               0.002971,               0.002971,               0.002971
                     74,                 1.4228,                 1.3598,                 1.5783,                0.78974,                0.68031,                0.71394,                0.42479,                 1.5122,                 1.0982,                 1.6947,               0.002872,               0.002872,               0.002872
                     75,                 1.4268,                  1.352,                 1.5638,                0.79486,                0.67127,                0.71841,                0.42726,                 1.5176,                 1.0872,                 1.6962,               0.002773,               0.002773,               0.002773
                     76,                 1.4266,                 1.3399,                 1.5601,                0.80295,                0.67686,                0.71914,                0.42751,                 1.5176,                 1.0806,                 1.6907,               0.002674,               0.002674,               0.002674
                     77,                 1.4279,                 1.3498,                 1.5613,                 0.7999,                0.67962,                 0.7192,                0.42962,                  1.516,                 1.0683,                 1.6882,               0.002575,               0.002575,               0.002575
                     78,                 1.4191,                 1.3433,                 1.5549,                0.80449,                0.68078,                0.72161,                0.42847,                 1.5207,                 1.0695,                 1.6925,               0.002476,               0.002476,               0.002476
                     79,                 1.4186,                 1.3436,                 1.5532,                0.80834,                0.68084,                0.72262,                0.42921,                 1.5164,                 1.0679,                 1.6953,               0.002377,               0.002377,               0.002377
                     80,                    1.4,                 1.3093,                 1.5436,                0.80142,                0.68349,                0.72343,                0.42848,                 1.5208,                 1.0627,                 1.6966,               0.002278,               0.002278,               0.002278
                     81,                  1.402,                  1.313,                 1.5453,                0.80722,                0.67595,                0.72236,                0.43043,                 1.5187,                 1.0614,                 1.6987,               0.002179,               0.002179,               0.002179
                     82,                  1.402,                 1.3054,                 1.5471,                0.79536,                 0.6826,                0.72372,                0.42855,                 1.5224,                 1.0604,                 1.7027,                0.00208,                0.00208,                0.00208
                     83,                 1.3834,                 1.3013,                 1.5334,                0.77926,                0.69303,                0.72099,                 0.4279,                 1.5187,                 1.0613,                 1.7019,               0.001981,               0.001981,               0.001981
                     84,                 1.3824,                 1.2976,                 1.5318,                0.80616,                0.67752,                 0.7224,                 0.4281,                  1.515,                 1.0531,                 1.7005,               0.001882,               0.001882,               0.001882
                     85,                 1.3784,                 1.2846,                 1.5277,                0.79299,                0.68413,                0.72409,                0.43172,                 1.5067,                  1.047,                 1.6932,               0.001783,               0.001783,               0.001783
                     86,                 1.3653,                 1.2724,                 1.5113,                0.80414,                0.68117,                 0.7241,                0.43076,                 1.5122,                 1.0481,                 1.6969,               0.001684,               0.001684,               0.001684
                     87,                 1.3907,                 1.2821,                 1.5238,                0.79397,                0.68707,                0.72281,                0.43006,                   1.51,                 1.0494,                 1.6929,               0.001585,               0.001585,               0.001585
                     88,                 1.3693,                 1.2748,                 1.5221,                0.80075,                0.68517,                0.72319,                0.43008,                 1.5109,                 1.0481,                 1.6924,               0.001486,               0.001486,               0.001486
                     89,                 1.3612,                 1.2616,                 1.5113,                0.80859,                0.68453,                0.72509,                0.43178,                  1.508,                 1.0413,                 1.6874,               0.001387,               0.001387,               0.001387
                     90,                 1.3557,                 1.2557,                 1.5088,                0.81187,                0.68246,                0.72565,                0.43247,                 1.5094,                 1.0386,                 1.6873,               0.001288,               0.001288,               0.001288
